OTU	M1	M2	M3	M4	M5	M6	M7	M8
Boletales_sp_1	0	0	0	1	0	0	6	0
Pezizales_sp_4	0	0	0	0	0	0	4	3
Agaricales_sp_5	0	7	0	0	0	0	0	0
Kiskunsagia_ubrizsyi_12	0	2	0	0	0	0	4	1
Neosonderhenia_eucalypti_1	0	0	0	7	0	0	0	0
Helotiales_sp_2	0	0	0	0	0	0	0	7
Sordariales_sp_11	0	0	0	0	0	0	0	7
Fungi_sp_105	0	0	0	0	0	7	0	0
Glomeromycetes_sp_1	1	0	0	0	0	6	0	0
GS08_sp_2	0	0	0	0	0	0	1	6
Gomphaceae_sp_1	0	0	0	0	0	0	0	7
Rhizophydiales_sp_4	0	0	0	0	0	0	7	0
Tubeufiales_sp_1	0	7	0	0	0	0	0	0
Fungi_sp_106	6	0	0	0	0	0	0	1
Pseudohormonema_sordidum_1	0	0	0	7	0	0	0	0
Geoglossales_sp_1	0	1	0	6	0	0	0	0
GS11_sp_28	0	0	0	0	0	0	7	0
Aphelidiomycota_sp_5	0	5	0	0	0	0	2	0
Orbiliales_sp_9	0	0	0	0	0	0	0	7
Orbiliaceae_sp_1	5	2	0	0	0	0	0	0
GS11_sp_29	0	0	0	0	0	0	5	1
Hypocreales_sp_8	0	0	0	0	0	0	1	5
Orbiliaceae_sp_2	2	0	0	2	0	1	0	1
Xylariaceae_sp_1	0	3	0	0	0	0	3	0
Zoopagomycota_sp_1	0	0	0	0	0	0	6	0
GS11_sp_30	0	4	0	0	0	0	1	1
Kickxellomycota_sp_3	0	0	0	0	0	0	6	0
GS11_sp_31	0	0	0	0	0	6	0	0
Rozellomycota_sp_40	0	0	0	0	0	0	2	4
Fungi_sp_107	0	0	0	2	0	0	4	0
Kiskunsagia_ubrizsyi_13	1	0	0	3	0	0	2	0
GS11_sp_32	0	0	0	0	0	0	6	0
Rozellomycota_sp_41	0	0	0	0	0	6	0	0
Glomeraceae_sp_22	0	0	0	0	0	0	2	4
Fungi_sp_108	0	0	0	0	0	0	3	3
Onygenales_sp_5	0	0	0	2	0	0	4	0
Kiskunsagia_ubrizsyi_14	0	0	0	0	1	0	0	5
Fungi_sp_109	0	0	0	2	0	0	4	0
Fungi_sp_110	0	0	0	0	0	0	0	6
Pyronemataceae_sp_4	0	0	0	0	0	0	6	0
Fungi_sp_111	0	0	0	2	0	0	0	4
Sordariomycetes_sp_8	0	6	0	0	0	0	0	0
Agaricomycetes_sp_14	0	0	0	0	0	0	1	5
Fungi_sp_112	0	0	0	0	0	0	2	4
GS11_sp_33	0	6	0	0	0	0	0	0
Sordariales_sp_12	0	5	0	0	0	0	0	1
Diversisporaceae_sp_1	0	0	0	1	0	0	3	2
Sordariomycetes_sp_9	0	0	0	0	0	0	2	4
Fungi_sp_113	0	6	0	0	0	0	0	0
Mortierellaceae_sp_7	0	0	0	0	6	0	0	0
GS11_sp_34	0	1	0	0	0	0	5	0
Furcasterigmium_furcatum_1	0	1	0	5	0	0	0	0
Onygenales_sp_6	0	0	0	6	0	0	0	0
Orbiliaceae_sp_3	5	0	0	0	0	0	0	1
Aphelidiomycota_sp_6	0	4	0	0	0	0	2	0
GS11_sp_35	0	0	0	0	0	0	1	5
Fungi_sp_114	0	0	0	0	0	0	0	6
Onygenales_sp_7	0	6	0	0	0	0	0	0
Fungi_sp_115	1	3	0	0	0	0	2	0
Dlhawksworthia_clematidicola_1	0	0	0	0	0	0	6	0
Sordariomycetes_sp_10	6	0	0	0	0	0	0	0
Rozellomycota_sp_42	0	4	0	2	0	0	0	0
Fungi_sp_116	0	1	0	0	0	1	3	1
Serendipitaceae_sp_4	1	0	0	0	0	0	5	0
Kiskunsagia_ubrizsyi_15	0	3	0	0	0	0	2	1
Aphelidiomycota_sp_7	2	0	0	0	0	0	1	2
Ascomycota_sp_30	0	5	0	0	0	0	0	0
Chaetothyriales_sp_11	0	5	0	0	0	0	0	0
Fungi_sp_117	0	4	0	0	0	0	1	0
Entorrhizomycetes_sp_1	0	0	0	0	0	0	5	0
Fungi_sp_118	0	5	0	0	0	0	0	0
GS11_sp_36	0	0	0	0	0	0	5	0
Rozellomycota_sp_43	0	0	0	4	0	0	1	0
Cordycipitaceae_sp_2	0	0	0	0	0	0	2	3
Zoopagomycota_sp_2	0	0	0	3	0	0	2	0
Ceratostomataceae_sp_2	0	0	0	3	0	0	2	0
Blastocladiales_sp_2	0	3	0	2	0	0	0	0
Trichomeriaceae_sp_7	0	0	0	0	0	0	1	4
Rozellomycota_sp_44	0	0	0	0	0	0	4	1
Rozellomycota_sp_45	0	0	0	0	0	0	0	5
Agaricales_sp_6	0	3	0	1	0	1	0	0
Fungi_sp_119	0	2	0	1	0	0	2	0
Rozellomycota_sp_46	3	0	0	0	0	0	0	2
Fungi_sp_120	0	2	0	3	0	0	0	0
Orbiliales_sp_10	0	0	0	2	0	0	3	0
Sordariomycetes_sp_11	0	0	0	0	0	1	4	0
Pezizaceae_sp_7	0	0	0	0	0	1	0	4
GS11_sp_37	0	0	0	0	0	0	3	2
Leucoglossum_leucosporum_1	1	0	0	0	0	0	1	3
Fungi_sp_121	2	0	0	0	0	1	0	2
Boletaceae_sp_1	0	5	0	0	0	0	0	0
GS11_sp_38	0	0	0	0	0	0	0	5
Chaetothyriales_sp_12	0	5	0	0	0	0	0	0
Neocallimastigomycota_sp_1	0	0	0	3	0	0	2	0
Archaeorhizomyces_sp_8	0	0	0	0	0	0	0	5
Fungi_sp_122	0	0	0	0	0	0	0	5
Fungi_sp_123	0	0	0	0	0	0	0	5
Sordariomycetes_sp_12	4	0	0	0	0	0	0	1
Fungi_sp_124	0	0	0	4	0	0	1	0
Tetragoniomycetaceae_sp_1	2	0	0	0	0	0	0	3
Fungi_sp_125	0	0	0	0	0	5	0	0
Pyronemataceae_sp_5	5	0	0	0	0	0	0	0
Fungi_sp_126	1	0	0	0	0	0	2	2
Sordariomycetes_sp_13	0	0	0	0	0	0	5	0
Rozellomycota_sp_47	0	1	0	2	0	0	2	0
Glomeraceae_sp_23	0	1	0	1	0	1	1	1
Fungi_sp_127	0	0	0	0	0	0	5	0
Fungi_sp_128	0	0	0	0	0	0	5	0
Chaetothyriales_sp_13	0	2	0	1	0	1	1	0
Fungi_sp_129	0	0	0	0	0	0	5	0
Ciliophora_sp_2	0	0	0	5	0	0	0	0
Orbiliales_sp_11	0	0	0	0	0	0	4	1
Sordariales_sp_13	0	0	0	1	0	0	3	1
Agaricomycetes_sp_15	0	3	0	1	0	0	1	0
Spizellomycetales_sp_2	0	0	0	4	0	0	1	0
Fungi_sp_130	0	0	0	0	0	0	5	0
Glomeromycetes_sp_2	0	0	0	0	0	0	0	5
GS05_sp_2	1	1	0	0	0	1	0	1
Ascomycota_sp_31	0	0	0	0	0	4	0	0
Sordariomycetes_sp_14	0	0	0	0	0	4	0	0
Onygenales_sp_8	4	0	0	0	0	0	0	0
Glomeraceae_sp_24	1	0	0	0	0	0	2	1
GS11_sp_39	0	0	0	0	0	4	0	0
Rozellomycota_sp_48	0	4	0	0	0	0	0	0
Fungi_sp_131	2	0	0	0	0	1	0	1
Fungi_sp_132	0	4	0	0	0	0	0	0
Sympoventuriaceae_sp_3	0	1	0	2	0	0	1	0
Rozellomycota_sp_49	2	0	0	0	0	1	0	1
Halosphaeriaceae_sp_2	1	0	0	0	0	0	3	0
Chytridiomycota_sp_2	0	0	0	0	0	0	4	0
Pezizomycotina_sp_7	0	0	0	0	0	0	4	0
Rhizophlyctidaceae_sp_1	0	2	0	1	0	0	1	0
Fungi_sp_133	0	0	0	4	0	0	0	0
zz_no_fungi_4	0	0	0	0	0	0	4	0
Rozellomycota_sp_50	0	1	0	3	0	0	0	0
GS11_sp_40	0	0	0	3	0	0	1	0
Ascomycota_sp_32	0	0	0	4	0	0	0	0
Serendipitaceae_sp_5	0	4	0	0	0	0	0	0
Fungi_sp_134	0	1	0	1	0	1	1	0
GS04_sp_1	0	0	0	0	0	0	0	4
Rhizophydiales_sp_5	0	0	0	0	0	0	0	4
Sympoventuriaceae_sp_4	0	0	0	1	0	0	3	0
GS11_sp_41	0	0	0	0	0	0	4	0
Sebacinales_sp_3	0	3	0	0	0	0	1	0
Rhizophydiales_sp_6	0	0	0	0	0	0	4	0
Pyronemataceae_sp_6	0	0	0	0	0	0	4	0
Agaricomycetes_sp_16	0	0	0	2	0	1	0	1
Kiflimonium_curvulum_1	0	1	1	0	0	0	2	0
GS11_sp_42	0	0	0	0	0	0	4	0
Agaricomycetes_sp_17	0	0	0	0	0	0	0	4
Fungi_sp_135	0	0	0	0	0	0	2	2
Fungi_sp_136	0	0	0	0	0	4	0	0
Ciliophora_sp_3	0	1	0	3	0	0	0	0
Ostropomyces_pruinosellus_2	0	0	0	0	0	0	4	0
Trichomeriaceae_sp_8	2	0	0	0	0	0	2	0
Fungi_sp_137	0	1	0	3	0	0	0	0
Sordariales_sp_14	0	0	0	0	0	0	2	2
Hygrocybe_conica_1	0	0	0	0	0	0	0	4
zz_no_fungi_5	0	0	0	0	0	0	4	0
GS11_sp_43	0	0	0	0	0	0	3	1
Blastocladiales_sp_3	0	0	0	4	0	0	0	0
Fungi_sp_138	0	0	0	0	0	0	0	4
Spizellomycetales_sp_3	3	0	0	0	0	1	0	0
Dothideomycetes_sp_1	0	0	0	0	0	4	0	0
Rozellomycota_sp_51	0	0	0	0	0	0	4	0
Chaetothyriales_sp_14	1	1	0	0	0	0	2	0
Pezizales_sp_5	0	4	0	0	0	0	0	0
Fungi_sp_139	0	0	1	0	0	3	0	0
Lobulomycetales_sp_3	0	0	0	1	0	0	3	0
Lasiosphaeriaceae_sp_2	0	0	0	0	0	0	4	0
Rozellomycota_sp_52	0	0	0	0	0	0	1	3
Agaricales_sp_7	0	0	0	0	0	0	4	0
Celotheliaceae_sp_1	0	0	0	0	0	1	3	0
Leucoglossum_sp_1	3	0	0	0	0	0	0	1
Ascomycota_sp_33	0	4	0	0	0	0	0	0
Fungi_sp_140	0	0	0	0	0	0	1	3
Trichomeriaceae_sp_9	0	0	0	3	0	0	1	0
zz_no_fungi_6	0	0	0	0	0	0	4	0
Agaricomycetes_sp_18	0	0	0	0	0	0	4	0
Pleosporales_sp_12	0	4	0	0	0	0	0	0
Rozellomycota_sp_53	0	4	0	0	0	0	0	0
Fungi_sp_141	0	0	0	0	0	0	1	3
Hypocreales_sp_9	0	1	0	2	0	0	1	0
Glomeraceae_sp_25	0	0	0	0	0	0	4	0
Spizellomycetales_sp_4	0	4	0	0	0	0	0	0
GS11_sp_44	0	0	0	0	0	0	0	4
Pleosporales_sp_13	0	4	0	0	0	0	0	0
GS06_sp_1	0	0	0	0	0	0	1	3
Aphelidiomycota_sp_8	0	0	0	0	0	0	4	0
Sporocybe_sp_1	2	0	0	2	0	0	0	0
Archaeorhizomyces_sp_9	0	1	0	2	0	0	1	0
Linnemannia_amoeboidea_3	0	0	0	0	0	0	0	4
Mortierellaceae_sp_8	0	2	0	1	0	0	1	0
GS11_sp_45	0	4	0	0	0	0	0	0
Rozellomycota_sp_54	0	1	0	1	1	0	1	0
Linnemannia_sclerotiella_1	0	0	0	0	0	1	3	0
Aphelidiomycota_sp_9	0	0	0	3	0	0	0	0
Chaetothyriales_sp_15	0	0	0	0	2	0	1	0
Fungi_sp_142	0	2	0	1	0	0	0	0
Brunneochlamydosporium_nepalense_1	0	0	0	1	0	0	2	0
Fungi_sp_143	2	0	0	1	0	0	0	0
Pezizomycotina_sp_8	0	0	0	0	0	0	0	3
Blastocladiomycota_sp_1	0	0	0	0	0	1	2	0
Aureonarius_collybianus_1	0	0	0	0	0	0	3	0
Ascomycota_sp_34	3	0	0	0	0	0	0	0
Fungi_sp_144	0	0	0	0	0	3	0	0
GS11_sp_46	0	1	0	1	0	0	0	1
Lobulomycetales_sp_4	0	3	0	0	0	0	0	0
Microdominikia_litorea_1	0	0	0	0	0	0	1	2
GS11_sp_47	2	0	0	0	0	0	1	0
Fungi_sp_145	0	1	0	0	0	0	2	0
Rozellomycota_sp_55	0	0	0	3	0	0	0	0
Glomeraceae_sp_26	0	3	0	0	0	0	0	0
Fungi_sp_146	0	0	0	1	0	1	0	1
Mycobernardia_sp_1	0	0	0	0	0	0	3	0
Orbiliales_sp_12	0	0	0	0	0	0	1	2
Fungi_sp_147	0	0	0	0	0	3	0	0
Fungi_sp_148	0	0	0	3	0	0	0	0
Fungi_sp_149	0	0	0	0	0	0	0	3
Hypocreales_sp_10	1	0	0	1	0	1	0	0
Fungi_sp_150	0	3	0	0	0	0	0	0
Fungi_sp_151	0	3	0	0	0	0	0	0
Chaetothyriales_sp_16	0	1	0	0	0	2	0	0
Fungi_sp_152	3	0	0	0	0	0	0	0
Glomeraceae_sp_27	0	2	0	0	0	1	0	0
Rozellomycota_sp_56	0	0	0	1	0	0	0	2
GS11_sp_48	0	0	0	2	0	0	1	0
Rozellomycota_sp_57	0	0	0	0	0	0	2	1
Fungi_sp_153	0	0	0	0	0	0	3	0
Fungi_sp_154	0	1	0	2	0	0	0	0
Ascomycota_sp_35	3	0	0	0	0	0	0	0
Fungi_sp_155	0	0	0	3	0	0	0	0
Bolbitiaceae_sp_1	0	0	0	1	0	0	2	0
GS11_sp_49	0	0	0	2	0	1	0	0
Rozellomycota_sp_58	0	0	0	0	0	1	2	0
Rhizophydiales_sp_7	0	0	0	1	0	0	2	0
Hygrocybe_constrictospora_2	0	0	0	0	0	0	3	0
Rozellomycota_sp_59	0	0	1	0	0	0	1	1
Xylariales_sp_3	1	0	0	0	0	1	0	1
GS11_sp_50	0	0	0	2	0	0	1	0
Rhizophydiales_sp_8	0	1	0	1	0	0	0	1
Kiskunsagia_ubrizsyi_16	0	0	0	0	0	0	3	0
Pleosporales_sp_14	0	0	1	0	0	0	2	0
Pezizaceae_sp_8	0	0	1	0	0	2	0	0
Podosporaceae_sp_3	0	0	0	0	0	0	2	1
Capnodiales_sp_1	0	0	0	2	0	0	0	1
Rozellomycota_sp_60	0	0	0	0	0	0	3	0
Ascomycota_sp_36	0	0	0	1	1	1	0	0
GS11_sp_51	0	0	0	1	0	0	1	1
Neocelosporium_eucalypti_1	1	0	0	2	0	0	0	0
Rhizophydiales_sp_9	0	0	0	0	0	0	3	0
Rozellomycota_sp_61	0	0	0	0	0	0	2	1
Fungi_sp_156	1	0	0	0	0	2	0	0
Fungi_sp_157	0	0	0	3	0	0	0	0
GS11_sp_52	0	0	0	3	0	0	0	0
Fungi_sp_158	0	0	0	3	0	0	0	0
GS11_sp_53	0	0	0	1	0	0	0	2
Glomerales_sp_1	0	3	0	0	0	0	0	0
Orbiliales_sp_13	0	0	0	0	0	3	0	0
Sordariales_sp_15	1	0	0	0	0	1	0	1
Ascomycota_sp_37	0	3	0	0	0	0	0	0
Ascomycota_sp_38	0	0	0	0	0	0	0	3
Lobulomycetales_sp_5	0	0	0	0	0	0	3	0
Arthrodermataceae_sp_1	0	0	0	2	0	0	1	0
Spodocybe_rugosiceps_1	0	1	0	1	0	0	1	0
Pleosporales_sp_15	0	0	0	3	0	0	0	0
GS11_sp_54	0	0	0	3	0	0	0	0
zz_no_fungi_7	0	0	0	3	0	0	0	0
Rozellomycota_sp_62	0	0	0	0	0	0	3	0
Fungi_sp_159	0	0	3	0	0	0	0	0
Fungi_sp_160	0	0	0	0	0	0	0	3
Aphelidiomycota_sp_10	0	0	0	0	0	0	1	2
Pezizales_sp_6	0	0	0	0	0	0	3	0
Chytridiomycota_sp_3	0	0	0	0	0	0	2	1
Ascomycota_sp_39	0	0	0	0	0	0	3	0
Fungi_sp_161	0	0	0	0	0	0	3	0
Kiskunsagia_ubrizsyi_17	3	0	0	0	0	0	0	0
Capnodiales_sp_2	2	0	0	1	0	0	0	0
Chaetomiaceae_sp_2	0	1	0	2	0	0	0	0
Microascales_sp_2	2	0	0	0	0	0	0	1
Rozellomycota_sp_63	0	3	0	0	0	0	0	0
Longihyalospora_ampeli_2	0	0	0	0	0	0	3	0
GS11_sp_55	0	0	0	0	0	0	0	3
Helotiales_sp_3	0	0	0	0	0	0	3	0
Fungi_sp_162	0	0	0	0	0	0	3	0
Fungi_sp_163	0	2	0	0	0	0	0	1
GS16_sp_3	0	0	0	0	0	0	3	0
Hermetothecium_mikaniae-micranthae_3	0	0	0	0	0	0	3	0
Fungi_sp_164	0	0	0	3	0	0	0	0
Tremellomycetes_sp_1	0	0	0	0	0	0	3	0
Phaffomycetaceae_sp_1	0	0	0	0	0	0	0	3
Endogonales_sp_1	0	0	0	0	0	0	3	0
zz_no_fungi_8	0	0	0	0	0	0	3	0
Ascomycota_sp_40	0	0	0	0	0	0	3	0
Pezizaceae_sp_9	0	1	0	2	0	0	0	0
Dothideomycetes_sp_2	0	3	0	0	0	0	0	0
Chaetothyriales_sp_17	0	0	0	3	0	0	0	0
Rozellomycota_sp_64	0	0	0	0	0	0	3	0
Linnemannia_amoeboidea_4	0	0	0	1	0	0	2	0
Lulworthiaceae_sp_4	2	0	0	0	0	0	1	0
Trechisporales_sp_3	3	0	0	0	0	0	0	0
Agaricaceae_sp_1	3	0	0	0	0	0	0	0
Lentitheciaceae_sp_1	0	0	0	0	0	0	3	0
GS14_sp_2	0	1	0	0	0	0	2	0
Fungi_sp_165	0	1	0	0	0	0	1	1
Clavulinaceae_sp_4	0	0	0	0	0	0	0	3
Aphelidiomycota_sp_11	0	0	0	0	0	0	2	1
Sordariales_sp_16	0	0	0	0	0	3	0	0
GS11_sp_56	0	2	0	1	0	0	0	0
Lobulomycetales_sp_6	0	0	0	0	1	0	2	0
Pleosporales_sp_16	0	1	0	0	0	1	1	0
Pseudovirgaria_grisea_2	0	0	2	0	0	0	0	1
Dothideales_sp_1	0	0	0	0	0	0	3	0
Badarisama_sp_1	0	0	0	0	0	1	1	1
Ascomycota_sp_41	0	0	0	0	1	1	0	1
Kiskunsagia_ubrizsyi_18	0	2	0	1	0	0	0	0
Fungi_sp_166	0	0	0	3	0	0	0	0
Glomeraceae_sp_28	2	0	0	0	0	0	1	0
Glomeraceae_sp_29	0	3	0	0	0	0	0	0
Blastocladiales_sp_4	0	0	0	2	0	1	0	0
Mortierellaceae_sp_9	0	0	0	0	0	0	3	0
Chytridiales_sp_1	1	1	0	1	0	0	0	0
Pleosporales_sp_17	1	0	0	1	0	0	1	0
Glomeraceae_sp_30	0	0	0	0	0	0	0	3
Hypocreales_sp_11	0	0	0	3	0	0	0	0
Fungi_sp_167	0	0	0	3	0	0	0	0
Fungi_sp_168	3	0	0	0	0	0	0	0
Blastocladiomycota_sp_2	0	0	0	0	0	0	3	0
Spizellomycetaceae_sp_1	0	0	0	2	0	0	0	0
Rozellomycota_sp_65	1	0	0	0	0	0	1	0
Pezizomycotina_sp_9	0	0	0	0	0	0	2	0
Ceratobasidiaceae_sp_4	0	0	0	0	0	2	0	0
GS11_sp_57	0	0	0	0	0	0	2	0
Sordariomycetes_sp_15	0	0	0	0	0	0	0	2
Fungi_sp_169	0	0	0	0	0	1	0	1
Orbiliaceae_sp_4	0	0	0	1	0	0	1	0
Agaricomycetes_sp_19	0	0	0	0	0	0	2	0
Phaeosphaeriaceae_sp_2	0	0	0	0	0	2	0	0
Rhizophydiales_sp_10	0	0	0	0	0	0	0	2
Glomeraceae_sp_31	0	0	0	2	0	0	0	0
Glomeraceae_sp_32	0	2	0	0	0	0	0	0
Helotiales_sp_4	0	0	0	0	0	0	0	2
Nectriaceae_sp_2	0	0	0	0	0	2	0	0
Fungi_sp_170	0	0	0	0	0	0	2	0
Fungi_sp_171	0	0	0	0	0	2	0	0
Ascomycota_sp_42	0	0	0	0	0	2	0	0
Rhizophydiales_sp_11	0	0	0	0	0	0	0	2
Xylariales_sp_4	0	0	0	0	0	0	0	2
GS11_sp_58	0	0	0	0	0	0	2	0
Ascomycota_sp_43	0	0	0	2	0	0	0	0
Fungi_sp_172	0	0	0	0	2	0	0	0
Ascomycota_sp_44	0	0	0	0	0	0	0	2
Endogonomycetes_sp_1	0	0	0	0	0	0	1	1
Chytridiales_sp_2	0	0	0	0	0	2	0	0
Rozellomycota_sp_66	0	0	0	0	0	0	2	0
Glomeraceae_sp_33	0	0	0	1	0	0	0	1
GS11_sp_59	0	0	0	0	0	2	0	0
Fungi_sp_173	0	0	0	0	0	2	0	0
Fungi_sp_174	0	0	0	0	0	0	0	2
Fungi_sp_175	0	0	0	0	0	0	2	0
Agaricomycetes_sp_20	0	1	0	0	0	1	0	0
Ascomycota_sp_45	0	0	0	0	0	0	0	2
Rozellomycota_sp_67	0	1	0	1	0	0	0	0
Chaetothyriales_sp_18	0	0	0	0	0	0	0	2
Herpotrichiellaceae_sp_7	0	0	0	0	0	0	2	0
Fungi_sp_176	0	0	0	0	0	0	0	2
Xylariales_sp_5	0	0	0	0	0	0	1	1
Pleosporales_sp_18	0	0	0	2	0	0	0	0
Rozellomycota_sp_68	0	0	0	0	0	0	1	1
Fungi_sp_177	0	0	0	0	0	0	1	1
Fungi_sp_178	0	0	0	2	0	0	0	0
Ascomycota_sp_46	0	0	0	0	0	0	2	0
GS11_sp_60	0	0	0	0	0	0	2	0
Fungi_sp_179	0	0	2	0	0	0	0	0
Chaetothyriales_sp_19	2	0	0	0	0	0	0	0
Serendipitaceae_sp_6	0	0	0	2	0	0	0	0
Basidiomycota_sp_1	0	0	0	0	0	0	2	0
GS11_sp_61	0	2	0	0	0	0	0	0
Fungi_sp_180	0	0	0	0	0	0	2	0
Fungi_sp_181	0	0	0	0	0	0	0	2
Chaetothyriales_sp_20	0	2	0	0	0	0	0	0
Trichomeriaceae_sp_10	0	0	0	0	0	0	0	2
Fungi_sp_182	0	0	0	2	0	0	0	0
Glomeromycota_sp_1	0	0	0	0	0	0	2	0
Glomeraceae_sp_34	0	1	0	1	0	0	0	0
Mortierellaceae_sp_10	0	0	0	1	0	0	1	0
Filobasidiales_sp_1	0	0	0	0	0	0	1	1
Fungi_sp_183	0	0	0	0	0	0	0	2
Helotiales_sp_5	0	0	0	0	0	0	2	0
Agaricomycetes_sp_21	0	2	0	0	0	0	0	0
Sclerodermataceae_sp_1	0	0	0	2	0	0	0	0
Dermoloma_phaeopodium_1	0	0	0	0	0	0	2	0
Fungi_sp_184	0	0	0	0	0	0	0	2
Ascomycota_sp_47	0	0	0	0	0	0	2	0
Onygenales_sp_9	1	1	0	0	0	0	0	0
Lobulomycetales_sp_7	0	1	0	0	0	0	1	0
Mortierellales_sp_7	0	0	0	0	0	0	0	2
Glomeraceae_sp_35	0	0	0	2	0	0	0	0
Ascomycota_sp_48	0	0	0	2	0	0	0	0
Agaricales_sp_8	0	0	0	0	0	0	2	0
Fungi_sp_185	0	2	0	0	0	0	0	0
Fungi_sp_186	0	0	0	0	0	0	0	2
Agaricomycetes_sp_22	0	0	0	0	0	0	2	0
Mortierellaceae_sp_11	0	0	0	0	0	0	1	1
Helotiales_sp_6	0	0	0	2	0	0	0	0
Trichomeriaceae_sp_11	0	1	0	0	0	0	0	1
Rozellomycota_sp_69	0	0	0	2	0	0	0	0
Hermetothecium_mikaniae-micranthae_4	0	0	0	0	0	0	2	0
Zoopagales_sp_1	0	0	0	2	0	0	0	0
Rozellomycota_sp_70	0	0	0	0	0	0	0	2
Ascomycota_sp_49	0	0	0	0	0	2	0	0
GS05_sp_3	0	0	0	2	0	0	0	0
Pezizaceae_sp_10	2	0	0	0	0	0	0	0
Furcasterigmium_furcatum_2	0	0	0	2	0	0	0	0
Glomeraceae_sp_36	1	0	0	0	0	0	1	0
Ascomycota_sp_50	0	2	0	0	0	0	0	0
Pezizales_sp_7	0	1	0	0	0	0	1	0
Fungi_sp_187	0	0	0	0	0	2	0	0
Herpotrichiellaceae_sp_8	0	0	0	0	0	0	0	2
Rozellomycota_sp_71	0	0	0	0	0	0	0	2
Dimorphoma_saxea_2	0	0	0	1	0	0	1	0
Glomeraceae_sp_37	0	0	0	0	0	0	2	0
Ascomycota_sp_51	0	1	1	0	0	0	0	0
Hemileucoglossum_pusillum_1	0	0	0	2	0	0	0	0
Fungi_sp_188	2	0	0	0	0	0	0	0
Microascaceae_sp_2	0	0	0	2	0	0	0	0
Pezizaceae_sp_11	0	0	2	0	0	0	0	0
Ascomycota_sp_52	0	0	0	0	0	0	2	0
GS11_sp_62	0	2	0	0	0	0	0	0
Chaetothyriales_sp_21	0	0	0	0	0	0	2	0
Glomeromycota_sp_2	0	0	0	0	0	0	0	2
Ascomycota_sp_53	2	0	0	0	0	0	0	0
Glomeraceae_sp_38	0	0	0	0	0	0	0	2
Sordariales_sp_17	1	0	0	0	0	0	0	1
Brunneochlamydosporium_nepalense_2	1	0	0	0	0	0	1	0
Trichomeriaceae_sp_12	0	0	0	1	0	0	0	1
Glomeraceae_sp_39	0	0	0	0	0	0	0	2
Fungi_sp_189	0	0	0	0	0	2	0	0
Herpotrichiellaceae_sp_9	0	0	2	0	0	0	0	0
Fungi_sp_190	0	1	0	1	0	0	0	0
Fungi_sp_191	0	0	0	0	0	0	2	0
Fungi_sp_192	0	0	0	0	0	0	0	2
Fungi_sp_193	1	0	0	0	0	1	0	0
Rozellomycota_sp_72	0	0	0	0	0	0	1	1
Fungi_sp_194	0	0	0	0	0	0	2	0
Fungi_sp_195	0	0	0	0	0	0	1	1
Rozellomycota_sp_73	0	2	0	0	0	0	0	0
GS14_sp_3	0	0	0	0	0	0	2	0
Basidiomycota_sp_2	0	0	0	0	0	0	2	0
Ascomycota_sp_54	0	0	0	0	0	0	2	0
Ascomycota_sp_55	0	1	0	0	0	1	0	0
Trichomeriaceae_sp_13	0	0	0	0	0	2	0	0
Fungi_sp_196	0	0	0	2	0	0	0	0
Fungi_sp_197	0	0	0	0	0	0	0	2
Agaricaceae_sp_2	0	2	0	0	0	0	0	0
Fungi_sp_198	0	0	0	2	0	0	0	0
Ascomycota_sp_56	0	0	0	0	0	2	0	0
Savoryellales_sp_1	1	0	0	1	0	0	0	0
Fungi_sp_199	2	0	0	0	0	0	0	0
GS06_sp_2	0	0	0	0	0	1	0	1
Fungi_sp_200	0	0	0	2	0	0	0	0
Fungi_sp_201	1	0	0	0	0	0	1	0
Sebacinales_sp_4	0	1	0	0	0	0	1	0
GS11_sp_63	0	0	0	0	0	0	2	0
Fungi_sp_202	0	0	0	0	0	2	0	0
GS11_sp_64	0	0	0	0	0	0	0	2
Orbiliales_sp_14	0	0	0	2	0	0	0	0
Fungi_sp_203	0	0	0	0	0	0	0	2
Fungi_sp_204	0	0	0	0	0	0	0	2
Blastocladiomycota_sp_3	1	1	0	0	0	0	0	0
Fungi_sp_205	0	0	0	2	0	0	0	0
Sordariomycetes_sp_16	0	2	0	0	0	0	0	0
Branch06_sp_6	2	0	0	0	0	0	0	0
Rozellomycota_sp_74	0	2	0	0	0	0	0	0
Cladochytriales_sp_1	0	0	0	2	0	0	0	0
Pezizomycotina_sp_10	0	0	0	0	0	0	0	2
Fungi_sp_206	0	0	0	0	0	1	0	1
Glomeraceae_sp_40	0	0	0	0	0	0	2	0
Microdominikia_sp_1	0	2	0	0	0	0	0	0
Rozellomycota_sp_75	0	0	0	0	0	0	2	0
Lophiostomataceae_sp_1	0	0	0	0	0	0	0	2
Macrophomina_phaseolina_1	0	0	0	2	0	0	0	0
Hymenochaetaceae_sp_1	0	0	0	0	0	0	2	0
Fungi_sp_207	0	0	0	0	0	0	2	0
Sordariomycetes_sp_17	0	0	0	2	0	0	0	0
Stachybotryaceae_sp_3	0	0	0	2	0	0	0	0
Chaetothyriales_sp_22	0	0	0	0	0	0	0	2
Chalara_hyalina_1	0	0	0	0	0	0	0	2
Trichomeriaceae_sp_14	0	0	0	0	0	0	0	2
Catenulomyces_convolutus_1	0	0	0	0	0	0	0	2
GS11_sp_65	0	0	0	2	0	0	0	0
Aphelidiomycota_sp_12	0	2	0	0	0	0	0	0
